movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Dawn of the Planet of the Apes,"$710,644,566.00","$208,545,589.00",29.30%,"$502,098,977.00",70.70%
The Amazing Spider-Man 2,"$708,982,323.00","$202,853,933.00",28.60%,"$506,128,390.00",71.40%
It,"$700,381,748.00","$327,481,748.00",46.80%,"$372,900,000.00",53.20%
The Wandering Earth,"$699,856,699.00","$5,971,413.00",0.90%,"$693,885,286.00",99.10%
The Twilight Saga: Eclipse,"$698,491,347.00","$300,531,751.00",43%,"$397,959,596.00",57%
Mission: Impossible - Ghost Protocol,"$694,713,380.00","$209,397,903.00",30.10%,"$485,315,477.00",69.90%
The Hunger Games,"$694,394,724.00","$408,010,692.00",58.80%,"$286,384,032.00",41.20%
Detective Chinatown 3,"$686,257,563.00",-,-,"$686,257,563.00",100%
Mission: Impossible - Rogue Nation,"$682,714,267.00","$195,042,377.00",28.60%,"$487,671,890.00",71.40%
Interstellar,"$677,896,797.00","$188,020,017.00",27.70%,"$489,876,780.00",72.30%
Doctor Strange,"$677,718,395.00","$232,641,920.00",34.30%,"$445,076,475.00",65.70%
Man of Steel,"$668,045,518.00","$291,045,518.00",43.60%,"$377,000,000.00",56.40%
Kung Fu Panda 2,"$665,692,281.00","$165,249,063.00",24.80%,"$500,443,218.00",75.20%
Justice League,"$657,924,295.00","$229,024,295.00",34.80%,"$428,900,000.00",65.20%
Big Hero 6,"$657,827,828.00","$222,527,828.00",33.80%,"$435,300,000.00",66.20%
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901.00","$159,555,901.00",24.40%,"$495,300,000.00",75.60%
Men in Black 3,"$654,213,485.00","$179,020,854.00",27.40%,"$475,192,631.00",72.60%
The Hunger Games: Mockingjay - Part 2,"$653,428,261.00","$281,723,902.00",43.10%,"$371,704,359.00",56.90%
Thor: The Dark World,"$644,783,140.00","$206,362,140.00",32%,"$438,421,000.00",68%
Moana,"$643,331,111.00","$248,757,044.00",38.70%,"$394,574,067.00",61.30%
Sing,"$634,151,679.00","$270,395,425.00",42.60%,"$363,756,254.00",57.40%
